URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,Quán Nướng Ngói - Nguyễn Trãi,"245/23 Nguyễn Trãi, Quận 1",Nướng,150.000 vn,"10h:30 - 13h:30, 17h:30 - 20h:30",,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,KHÔNG GIAN:,- Không gian truyền thống đầy màu sắc đậm chất làng chài cổ Nhật Bản,,100 khách,,,,,,,,,,106.688032,10.764651,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,Thứ hai,16:00,22:00,,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,Thứ ba,16:00,22:00,,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,Thứ tư,16:00,22:00,,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,Thứ năm,16:00,22:00,,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,Thứ sáu,16:00,22:00,,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,Thứ bảy,16:00,22:00,,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,Chủ nhật,16:00,22:00,,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,nuong-ngoi-nguyen-trai-khong-gian-3: https://pasgo.vn/Upload/anh-chi-tiet/nuong-ngoi-nguyen-trai-mon-an-12-normal-12113313730.webp,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,nuong-ngoi-nguyen-trai-khong-gian-4: https://pasgo.vn/Upload/anh-chi-tiet/nuong-ngoi-nguyen-trai-mon-an-5-normal-12150463731.webp,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,nuong-ngoi-nguyen-trai-khong-gian-6: https://pasgo.vn/Upload/anh-chi-tiet/nuong-ngoi-nguyen-trai-mon-an-11-normal-12112523732.webp,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,nuong-ngoi-nguyen-trai-mon-an-5: https://pasgo.vn/Upload/anh-chi-tiet/nuong-ngoi-nguyen-trai-mon-an-10-normal-12152723733.webp,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,nuong-ngoi-nguyen-trai-mon-an-6: https://pasgo.vn/Upload/anh-chi-tiet/nuong-ngoi-nguyen-trai-mon-an-9-normal-12083163734.webp,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,nuong-ngoi-nguyen-trai-mon-an-9: https://pasgo.vn/Upload/anh-chi-tiet/nuong-ngoi-nguyen-trai-khong-gian-3-normal-12140293735.webp,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,nuong-ngoi-nguyen-trai-mon-an-10: https://pasgo.vn/Upload/anh-chi-tiet/nuong-ngoi-nguyen-trai-khong-gian-6-normal-12103133736.webp,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,nuong-ngoi-nguyen-trai-mon-an-11: https://pasgo.vn/Upload/anh-chi-tiet/nuong-ngoi-nguyen-trai-mon-an-1-normal-12135583737.webp,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,nuong-ngoi-nguyen-trai-mon-an-12: https://pasgo.vn/Upload/anh-chi-tiet/nuong-ngoi-nguyen-trai-mon-an-8-normal-12078633740.webp,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,nuong-ngoi-nguyen-trai-mon-an-13: https://pasgo.vn/Upload/anh-chi-tiet/nuong-ngoi-nguyen-trai-mon-an-6-normal-12057063741.webp,,,
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/quanngoint/ngoi-1.jpg
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/quanngoint/ngoi-2.jpg
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/quanngoint/ngoi-3.jpg
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/quanngoint/ngoi-4.jpg
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/quanngoint/ngoi-5.jpg
https://pasgo.vn/nha-hang/quan-nuong-ngoi---nguyen-trai---nuong-gi-cung-co-757,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/quanngoint/ngoi-6.jpg
