URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,Nhà hàng Rạng Đông – Cách Mạng Tháng 8,"Số 81 - 83 Cách Mạng Tháng 8, P. Bến Thành, Q.1","Gọi món Á, Âu",150.000 - 250.000,06h00 - 24h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,"Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật","Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe), Bãi xe tại nhà hàng (Miễn phí),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",,,,,,,,,106.691666,10.77238,
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,THỨ HAI,06:00,23:59,,,,
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,THỨ BA,06:00,23:59,,,,
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,THỨ TƯ,06:00,23:59,,,,
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,THỨ NĂM,06:00,23:59,,,,
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,THỨ SÁU,06:00,23:59,,,,
