URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,Sushi Masa - Thạch Thị Thanh,"Số 52 Thạch Thị Thanh, P. Tân Định, Q. 1",Gọi món Nhật Bản,200.000 - 400.000,T2-T6: 11h00 -17h00 & T7-CN: 14h00 - 17h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,"Gia đình, bạn bè, đồng nghiệp,...","Hàu Nướng Misoyaki, Set Tàu Sashimi Titanic, Cuốn Hải Sản Chiên Xù Sốt Spicy, Cuốn Cá Hồi Phủ Cheese Đút Lò...",Phong cách Nhật Bản, 100 khách (02 tầng),"Nhà hàng Sushi Masa chuyên ẩm thực Nhật Bản, hoạt động với tôn chỉ “Chất lượng, tươi ngon, hợp vệ sinh cùng những trải nghiệm dịch vụ tốt nhất có thể với giá cả phải chăng”.",,,,,,,,,106.692457,10.790493,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,Phòng riêng,01 phòng,,,,,,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,Chỗ để xe ô tô,Gửi xe tại công viên Lê Văn Tám (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,Chỗ để xe máy,Gửi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,THỨ HAI,11:00,17:00,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,THỨ BA,11:00,17:00,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,17:00,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,17:00,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,17:00,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,THỨ BẢY,14:00,17:00,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,CHỦ NHẬT,14:00,17:00,,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-1-normal-1430533745322.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-2-normal-1430533845323.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-3-normal-1430534045324.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-4-normal-1430534145325.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-5-normal-1430534245326.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-6-normal-1430534345327.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-7-normal-1430534445328.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-8-normal-1430534645329.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-9-normal-1430534845330.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-10-normal-1430535145331.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-11-normal-1430535245332.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-masa-thach-thi-thanh-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-masa-thach-thi-thanh-12-normal-1430535445333.webp,,,
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/1.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/2.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/3.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/4.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/5.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/6.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/7.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/8.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/9.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/10.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/11.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/12.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/13.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/14.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/15.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/16.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/17.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/18.jpg
https://pasgo.vn/nha-hang/sushi-masa-thach-thi-thanh-3960,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/sushimisha/19.jpg
