URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Vị Quê Kitchen - Sương Nguyệt Ánh,"110 Sương Nguyệt Ánh, P. Phạm Ngũ Lão, Q. 1",Gọi món Chay,200.000 - 300.000,09h00 - 22h30,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,"KH văn phòng, Gia đình, bạn bè,...",MÓN ĐẶC SẮC:,"Không gian hiện đại, ấm cúng", 120 khách,,,,,,,,,,106.68854842495,10.7715857513124,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,Tầng trệt,30 khách,,,,,,,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,Tầng 1,90 khách,,,,,,,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,THỨ HAI,09:00,22:30,,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,THỨ BA,09:00,22:30,,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,THỨ TƯ,09:00,22:30,,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,THỨ NĂM,09:00,22:30,,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,THỨ SÁU,09:00,22:30,,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,THỨ BẢY,09:00,22:30,,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,CHỦ NHẬT,09:00,22:30,,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 1: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-1-normal-2273237159871.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 2: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-2-normal-2273237259872.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 3: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-3-normal-2273237359873.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 4: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-4-normal-2273237459874.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 5: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-5-normal-2273237559875.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 6: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-6-normal-2273237659876.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 7: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-7-normal-2273237759877.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 8: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-8-normal-2273237859878.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 9: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-9-normal-2273237959879.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 10: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-10-normal-2273238059880.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 11: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-11-normal-2273238559881.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,Slide Vị quê kitchen 12: https://pasgo.vn/Upload/anh-chi-tiet/slide-vi-que-12-normal-2273241259882.webp,,,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-1.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-2.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-3.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-4.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-5.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-6.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-7.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-8.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-9.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-10.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-11.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-12.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-13.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-14.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-15.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-16.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-17.jpg
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Vi-Que-Kitchen/menu-vi-que-18.jpg
