URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/vivins-wine-club-nguyen-dinh-chieu-2184,Vivins Wine Club – Nguyễn Đình Chiểu,"Số 11B Nguyễn Đình Chiểu, Phường Đakao, Q. 1",Gọi món Âu,250.000 – 350.000,10h00 - 24h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/vivins-wine-club-nguyen-dinh-chieu-2184,,,,,,,,"Tụ họp, gặp mặt, liên hoan, họp nhóm, gia đình....","- Thịt sườn bò Wagyu Australian, Thịt mông bò Wagyu Australian, Nạc vai bò Australian thượng hạng, Nạc vai bò Mỹ,...
- Nhúng lẩu: Nấm hải sản, Nấm bào ngư, Nấm sò, Nấm hương, Nấm kim châm",Nhật Bản, 130 khách,On-Yasai nằm trong chuỗi nhà hàng nổi tiếng tại Nhật Bản thuộc sở hữu của tập đoàn Colowide - tập đoàn về kinh doanh nhà hàng có quy mô đứng đầu tại Nhật Bản,,,,,,,,,106.700610409432,10.7893497644041,
https://pasgo.vn/nha-hang/vivins-wine-club-nguyen-dinh-chieu-2184,,,,,,,,,,,,,Phòng riêng,01 phòng (40 khách),,,,,,,,,
https://pasgo.vn/nha-hang/vivins-wine-club-nguyen-dinh-chieu-2184,,,,,,,,,,,,,,,Chỗ để xe ô tô & xe máy,"Gửi tại tầng hầm 22 Lê Thánh Tôn, đối diện nhà hàng (Phí phụ thuộc đơn vị trông giữ xe)",,,,,,,
https://pasgo.vn/nha-hang/vivins-wine-club-nguyen-dinh-chieu-2184,,,,,,,,,,,,,,,,,THỨ HAI,10:00,23:59,,,,
https://pasgo.vn/nha-hang/vivins-wine-club-nguyen-dinh-chieu-2184,,,,,,,,,,,,,,,,,THỨ BA,10:00,23:59,,,,
https://pasgo.vn/nha-hang/vivins-wine-club-nguyen-dinh-chieu-2184,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,23:59,,,,
https://pasgo.vn/nha-hang/vivins-wine-club-nguyen-dinh-chieu-2184,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,23:59,,,,
https://pasgo.vn/nha-hang/vivins-wine-club-nguyen-dinh-chieu-2184,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,23:59,,,,
https://pasgo.vn/nha-hang/vivins-wine-club-nguyen-dinh-chieu-2184,,,,,,,,,,,,,,,,,THỨ BẢY,10:00,23:59,,,,
