"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"964176510","604E099CD8FF6CF258F0891865FC4559","Mike M","mikemI4598AP","https://www.tripadvisor.com.vn/Profile/mikemI4598AP","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg","Vùng Auckland","No","5","Giá trị: 5
Dịch vụ: 5
Đồ ăn: 5
Không khí: 5","Top class teppanyaki","Excellent teppanyaki perfectly cooked and beautifully presented. Extensive choice of ingredients, great service.","0","","FAMILY","2024-06-30","2024-08-10","2024-08-10","en","Kobe Teppanyaki Restaurant","3542854","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d3542854-r964176510-Kobe_Teppanyaki_Restaurant-Ho_Chi_Minh_City.html"
"952317351","00976318739DED6ED5317409B89967ED","Charlie S","K3895ITcharlies","https://www.tripadvisor.com.vn/Profile/K3895ITcharlies","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg","","No","5","Giá trị: 5
Dịch vụ: 5
Đồ ăn: 5
Không khí: 5","Incredible dishes","My first experience of Teppanyaki and it was delicious. Watching the chef was mesmerizing and his dishes melted in your mouth.","1","","BUSINESS","2024-05-31","2024-05-25","2024-05-25","en","Kobe Teppanyaki Restaurant","3542854","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d3542854-r952317351-Kobe_Teppanyaki_Restaurant-Ho_Chi_Minh_City.html"
"943332240","39F0E269F450AC09206FC412AF02CE3E","asiafantasy","asiafantasy","https://www.tripadvisor.com.vn/Profile/asiafantasy","https://media-cdn.tripadvisor.com/media/photo-o/12/a0/1f/00/asiafantasy.jpg","Hà Nội","No","5","","All perfect... from arriving to leaving","Great lunch - privat room/ table for any size of guest.

Pricy ? Noooo... for what you get and the service they serve you is fair

Yes... we will be back
Yes... we will recommend to everybody 

Thx for great experience at your nice place","1","","FAMILY","2024-03-31","2024-03-21","2024-03-21","en","Kobe Teppanyaki Restaurant","3542854","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d3542854-r943332240-Kobe_Teppanyaki_Restaurant-Ho_Chi_Minh_City.html"
"934732384","2DEB9D8A0B9D35B19C98284E441FF28F","Jarle R C","JarleRC_12","https://www.tripadvisor.com.vn/Profile/JarleRC_12","https://media-cdn.tripadvisor.com/media/photo-o/2b/51/f7/3d/caption.jpg","Đảo Malta","No","5","Giá trị: 3
Dịch vụ: 5
Đồ ăn: 5
Không khí: 5","Great but expensive Teppayaki in HCMC","Spotless restaurant, with great staff. Our chef was a culinary magician. But abselutely on the prices side when comparing to the Changhai Teppan places where it is all you can eat.","1","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/41/b0/65/the-service-at-kobe-is.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/41/b0/64/the-service-at-kobe-is.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/41/b0/63/the-service-at-kobe-is.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/41/b0/62/the-service-at-kobe-is.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/41/b0/61/the-service-at-kobe-is.jpg","FRIENDS","2024-01-31","2024-01-19","2024-01-19","en","Kobe Teppanyaki Restaurant","3542854","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d3542854-r934732384-Kobe_Teppanyaki_Restaurant-Ho_Chi_Minh_City.html"
"904731132","B719730270C6BAAE534B9737EA32AE8B","AlexinBerlin","AlexinBerlin","https://www.tripadvisor.com.vn/Profile/AlexinBerlin","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg","","No","5","","Excellent beef quality","We have been here a couple of times now and we’re never disappointed. 
Professional friendly staff and very good food quality. I love their Teppanyaki beef.","1","","COUPLES","2023-07-31","2023-07-22","2023-07-22","en","Kobe Teppanyaki Restaurant","3542854","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d3542854-r904731132-Kobe_Teppanyaki_Restaurant-Ho_Chi_Minh_City.html"
"838118154","81986178C8C4C9A51C075642B386091C","2Bob","2Bob","https://www.tripadvisor.com.vn/Profile/2Bob","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg","","No","5","Giá trị: 5
Dịch vụ: 5
Đồ ăn: 5","Fantastic gastronomic experience","We were passing through HCMC and decided it was a great opportunity to experience a world famous Kobe beef steak. On arrival we were escorted to our room and allocated a dedicated server who took our order. We opted for a Kobe set menu and a Foie Gras set menu. In the UK this would be called a fine dining tasting menu Our allocated chef appeared and set up to prepare the meal on the hot plate in front of us.
The Foie Gras menu included courses of prawns, scallops, salmon, foie gras and Australian rib eye. See photos. The skill and hand speed of our chef was phenomenal as she cooked and prepared the various courses. The Kobe was melt in the mouth special. The textures, flavours and presentation of all the dishes are up there with some Michelin starred restaurants I have visited.
Sitting at a table with a chef preparing food at the table may not suit anyone looking for a quiet intimate experience. But we found it to be a fantastic gastronomic experience. Fabulous.","1","https://media-cdn.tripadvisor.com/media/photo-w/23/5e/2b/5e/kobe-restaurant.jpg
https://media-cdn.tripadvisor.com/media/photo-w/23/5e/2b/67/kobe-restaurant-scallops.jpg
https://media-cdn.tripadvisor.com/media/photo-w/23/5e/2b/6f/kobe-restaurant.jpg
https://media-cdn.tripadvisor.com/media/photo-w/23/5e/2b/71/kobe-restaurant.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/23/5e/2a/6a/kobe-restaurant.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/23/5e/2a/6c/kobe-restaurant.jpg
https://media-cdn.tripadvisor.com/media/photo-w/23/5e/2a/71/flaming-the-kobe-steak.jpg
https://media-cdn.tripadvisor.com/media/photo-w/23/5e/2a/7e/kobe-restaurant.jpg","NONE","2022-04-30","2022-05-11","2022-05-11","en","Kobe Teppanyaki Restaurant","3542854","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d3542854-r838118154-Kobe_Teppanyaki_Restaurant-Ho_Chi_Minh_City.html"
"778299510","0F85C038F9BE5AEDF318217B0654FC84","Julie_V0","Julie_V0","https://www.tripadvisor.com.vn/Profile/Julie_V0","https://media-cdn.tripadvisor.com/media/photo-m/1280/19/c8/d0/ab/julie-v0.jpg","Thành phố Hồ Chí Minh","No","5","Giá trị: 5
Dịch vụ: 5
Đồ ăn: 5","Joyful Birthday Dinner","I had my birthday celebration dinner with my family at this restaurant. We all enjoyed the food and experienced a great cooking show by the chef.

Lobster, kobe beef, seafood are all fresh. Staffs are friendly and cozy atmosphere restaurant. The only cons is that the bill is a bit heavy. 😉

Anyway it’s worth for a birthday dinner! 5 stars ⭐️!","2","https://media-cdn.tripadvisor.com/media/photo-o/1c/62/e5/e6/wagyu-beef.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1c/62/e5/e5/salmon.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1c/62/e5/e4/well-food-deco.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1c/62/e5/df/tasty.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1c/62/e5/d9/canadian-lobster.jpg","NONE","2020-11-30","2020-12-02","2020-12-01","en","Kobe Teppanyaki Restaurant","3542854","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d3542854-r778299510-Kobe_Teppanyaki_Restaurant-Ho_Chi_Minh_City.html"
"732222782","21B5F2F170198A997568A68E3935CA61","Majorchu","Majorchu","https://www.tripadvisor.com.vn/Profile/Majorchu","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg","Singapore","No","3","","Wine list was not impressive.","Wine list was not impressive. A lot of wines were sold out. The starters and others were good but unfortunately when the main course beef was cooked it was delayed by the decos and when the food reached our mouths it was not warm. The quality of the beef was on par but it would have been nice if it were hot. Lastly, the restaurant need some 5S such as leaving the baby chairs right outside. Not pleasing to the eye","1","","NONE","2019-12-31","2019-12-12","2019-12-12","en","Kobe Teppanyaki Restaurant","3542854","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d3542854-r732222782-Kobe_Teppanyaki_Restaurant-Ho_Chi_Minh_City.html"
"713296578","AE93488C4E821DC177C2B06AE9193120","fairlink","fairlink","https://www.tripadvisor.com.vn/Profile/fairlink","https://media-cdn.tripadvisor.com/media/photo-o/05/9b/7a/9f/fairlink.jpg","My An","No","4","","厳選素材","厳選された素材と熟練された調理法で、技術と同時に美しさがあります。鉄板焼きカウンターでは、音と香りも楽しめます。","0","","SOLO","2019-09-30","2019-09-27","2019-09-26","ja","Kobe Teppanyaki Restaurant","3542854","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d3542854-r713296578-Kobe_Teppanyaki_Restaurant-Ho_Chi_Minh_City.html"
"709598399","A4637DC41A8F9F20955A725A19C804FA","Serjio An","serjio-an","https://www.tripadvisor.com.vn/Profile/serjio-an","https://media-cdn.tripadvisor.com/media/photo-o/15/4c/2c/da/caption.jpg","Thành phố Hồ Chí Minh","No","4","","鉄板焼","高級日本式鉄板焼。コースで頂きました。
所謂シェフのパフォーマンスもあり、日本の食文化を楽しむにも良いと思います。","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/19/3c/c3/eb/photo4jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/19/3c/c3/ea/photo3jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/19/3c/c3/e9/photo2jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/3c/c3/e8/photo1jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/3c/c3/e7/photo0jpg.jpg","BUSINESS","2019-09-30","2019-09-14","2019-09-14","ja","Kobe Teppanyaki Restaurant","3542854","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d3542854-r709598399-Kobe_Teppanyaki_Restaurant-Ho_Chi_Minh_City.html"
