"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"974156752","58BE74FCAA8B3FF3EBBA3F2D88AFF62A","Fearless42131319139","Fearless42131319139","https://www.tripadvisor.com.vn/Profile/Fearless42131319139","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg","","No","5","","Quán đẹp nha mn","Địa điểm phù hợp cho đi chơi, thư giãn, mọi người có thể đến để thư giãn sau một ngày làm việc vất vả, họp bạn bè, gia đình, người yêu","0","","FRIENDS","2024-10-31","2024-10-16","2024-10-16","vi","Bếp Mẹ ỉn","10721705","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d10721705-r974156752-B_p_M_n-Ho_Chi_Minh_City.html"
"967795643","05F1B2D9069E98CDBE553D7BE2ECD664","Wanderer49944877152","Wanderer49944877152","https://www.tripadvisor.com.vn/Profile/Wanderer49944877152","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","","No","5","","Trải nghiệm bữa tối tại Bếp Mẹ Ỉn","Đồ ăn ngon, gợi đến không khí gia đình, thích món bông bí xào với giò heo giòn rụm ngon, giá ok, nhân viên dễ thương, take care khách từ cổng","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/53/d5/8f/caption.jpg","FRIENDS","2024-09-30","2024-09-01","2024-09-01","vi","Bếp Mẹ ỉn","10721705","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d10721705-r967795643-B_p_M_n-Ho_Chi_Minh_City.html"
"962063725","15B934BB631478CACCC4CB855811C228","Kieu Oanh P","kieuoanhp90","https://www.tripadvisor.com.vn/Profile/kieuoanhp90","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg","Thành phố Hồ Chí Minh","No","5","Giá trị: 4
Dịch vụ: 5
Đồ ăn: 5
Không khí: 5","Món Việt nâng tầm","Được bạn giới thiệu từ lâu, nay mới dẫn nhà đi ăn thử. Các món Việt đâu cũng có như bánh xèo, cuốn, cơm chiên, v.v. nhưng mà bày trí nấu nướng rất ngon. Nên đến ăn thử cho biết","0","https://media-cdn.tripadvisor.com/media/photo-o/2c/fb/de/24/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-o/2c/fb/de/23/caption.jpg","FAMILY","2024-06-30","2024-07-28","2024-07-28","vi","Bếp Mẹ ỉn","10721705","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d10721705-r962063725-B_p_M_n-Ho_Chi_Minh_City.html"
"951428845","2DFC9B8A1E51B46E375CF234B8444A48","Roving51095469394","Roving51095469394","https://www.tripadvisor.com.vn/Profile/Roving51095469394","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","","No","5","","Quán ngon, nhân viên dễ thương","Hôm qua nhà mình vừa qua bên LTT dùng thử, nhà mình rất thích ăn các món ăn VN, đồ ăn của quán rất ngon,gđ mình đều khen nhân viên phục vụ nhiệt tình chu đáo, mình đặc biệt thích những nơi có nv take care nhiệt tình như v, quản lý nhà hàng siêu dễ thương lun🫶🏻","0","","FAMILY","2024-05-31","2024-05-19","2024-05-19","vi","Bếp Mẹ ỉn","10721705","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d10721705-r951428845-B_p_M_n-Ho_Chi_Minh_City.html"
"951420119","72C2079DC37D946120F5CD7491B06D5C","Jamie","JaimeLannister2802","https://www.tripadvisor.com.vn/Profile/JaimeLannister2802","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg","Thành phố Hồ Chí Minh","No","5","Giá trị: 5
Dịch vụ: 5
Đồ ăn: 5
Không khí: 5","Ngon Ngon Ngon","Là nơi thích hợp để trải nghiệm đồ ăn Việt Nam, bánh xèo hải sản rất ngon !! Đáng để thử phù hợp giá tiền, nhân viên phục vụ dễ thương - thân thiện luôn niềm nở với khách hàng","0","","FRIENDS","2024-05-31","2024-05-19","2024-05-18","vi","Bếp Mẹ ỉn","10721705","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d10721705-r951420119-B_p_M_n-Ho_Chi_Minh_City.html"
"569148295","9050F45B777E3F92F4C1A962996157C9","Phúc T","Trek763295","https://www.tripadvisor.com.vn/Profile/Trek763295","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg","","No","5","","Đồ ăn của quán rất ngon","Mình tới đây rất nhiều lần rồi. Đồ ăn ngon và hương vị rất nhẹ nhàng rất dễ dùng cũng rất phù hợp cho khách nước ngoài khi muốn tìm hiểu ẩm thực Việt nam. Giá cả so với mặt bằng nhà hàng món Việt thì cũng rất phải chăng và an toàn vệ sinh. Đặc biệt nhân viên rất nhiệt tình rất vui vẻ.","1","","NONE","2018-03-31","2018-03-27","2018-03-27","vi","Bếp Mẹ ỉn","10721705","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d10721705-r569148295-B_p_M_n-Ho_Chi_Minh_City.html"
"563165342","B09D32ACFE1ADBE91FE005453164D8DC","20trangh","20trangh","https://www.tripadvisor.com.vn/Profile/20trangh","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg","","No","3","","Cảm ơn đã tạo ra không gian quán ăn Việt cổ","Không biết dẫn bạn nước ngoài đi đâu ăn thì tra đc ra quán khá nổi trên mạng. Mình gọi phần bún thịt chả nướng và cơm chiên dừa.
Không biết có phải do mình là người Việt hay không mà hương vị này đối với mình cũng không ấn tượng lắm. Còn bạn Hàn Quốc đi cùng thì tấm tắc khen ngon.
Với mình thịt nướng ướt hơn đậm và cắt miếng hơi to. Chả thì ko ấn tượng lắm.
Cơm dừa ngon bùi. Tuy nhiên do không gọi canh hay nước nên ăn rồi khá háo nước.
Giá cả tạm chấp nhận. Tuy nhiên bạn mình muốn ăn thêm rau mùi. Theo mình thì cái bát rau thêm đó nhỏ không đến 10k đâu. Hơi choáng xíu.
Mình thì không thích đèn vàng của quán. Có thể nó cho cảm giác xưa cũ nhưng đối với mình nó cho cảm giác tối tăm.
Nếu đi với bạn Việt mình nghĩ mình sẽ không quay lại. Bạn nước ngoài thì có thể.","1","https://media-cdn.tripadvisor.com/media/photo-o/12/2f/e7/ba/photo1jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/2f/e7/b9/photo0jpg.jpg","COUPLES","2018-02-28","2018-02-27","2018-02-27","vi","Bếp Mẹ ỉn","10721705","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d10721705-r563165342-B_p_M_n-Ho_Chi_Minh_City.html"
"480604649","3F35E2734FCBDA3488CA149A51AAD599","TRANDUCDANTHINH","TRANDUCDANTHINH","https://www.tripadvisor.com.vn/Profile/TRANDUCDANTHINH","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg","Thành phố Hồ Chí Minh","No","4","Giá trị: 4
Dịch vụ: 4
Đồ ăn: 4","Ngoài những món ăn dân dã ngon miệng, Nhà hàng ""Bếp Mẹ Ỉn"" còn 'ăn khách' nhờ cái tên ngộ nghĩnh nữa.","Nhà hàng ""Bếp Mẹ Ỉn"" nép mình trong một con hẻm thuộc 'khu đất vàng' trung tâm TP trên đường Lê Thánh Tôn đối diện với Cửa Bắc chợ Bến Thành.  Quán nhỏ gọn bao gồm một trệt, một lầu, tầng trệt có trưng bày hẳn một chiếc xe Lam 3 bánh cũ,  lạ lẫm của thập niên 60, dùng làm nơi  pha chế đồ uống, trên tường nhà có họa tiết những ô cửa sổ giả hay hình một cô gái mặc áo dài dáng vẻ như đang đạp xe trên một chiếc xe đạp thật, trên lầu rộng rãi hơn, được bày biện bàn ăn ghế ngồi tươm tất, gọn gàng không kể có nhiều bức hình của các bà mẹ già đáng yêu được treo ngay ngắn trên tường.
Khách du lịch nước ngoài tỏ vẻ tò mò, thích thú khi biết tên quán ""Bếp Mẹ Ỉn"" có nghĩa tạm dịch là ""Kitchen of fat Mommy"" rồi dần dà rủ nhau tìm đến Quán để tìm hiểu, dùng thử những món ăn truyền thống, dân dã hấp dẫn của đám hậu duệ, con cháu Mẹ Ỉn tự  tay xào nấu, nào là :  Sườn non nướng lá trúc, Canh chua cá lóc, Bún chả Mẹ Ỉn, Thịt heo kho tiêu, Rau muống xào tỏi, Bánh xèo tôm thịt, Gỏi củ hũ dừa tôm thịt, Bánh đập thịt nướng, Cơm chiên tỏi........ giá từ 45k đến 95K/phần, ngoài ra thức uống gồm nước ngọt, rượu bia đủ loại, nước trái cây xay giá không dưới 30K/loại/ly.  tựu chung, xem ra những món ăn truyền thống quen thuộc của Nhà hàng ""Bếp Mẹ Ỉn"" đều rất hấp dẫn thực khách, nhất là đối với du khách nước ngoài, ngay cả lối cách trang trí quán lạ mắt cộng với thái độ niềm nở, mến khách của các nam nữ NV phục vụ cũng là ưu điểm nổi trội của Nhà hàng ""Bếp Mẹ Ỉn"" tại TpHCM.","4","https://media-cdn.tripadvisor.com/media/photo-o/0f/25/7f/1a/t-ngoai-h-m-nhin-vao.jpg
https://media-cdn.tripadvisor.com/media/photo-o/0f/25/7e/ec/ch-d-khach-r-a-tay.jpg
https://media-cdn.tripadvisor.com/media/photo-o/0f/25/7e/90/mon-bun-ch-m-n-r-t-h.jpg
https://media-cdn.tripadvisor.com/media/photo-o/0f/25/7e/57/h-a-ti-t-hinh-co-gai.jpg
https://media-cdn.tripadvisor.com/media/photo-o/0f/25/7e/13/chi-c-xe-lam-ch-d-y-th.jpg
https://media-cdn.tripadvisor.com/media/photo-o/0f/25/7d/c7/ban-an-gh-ng-i-tren-l.jpg
https://media-cdn.tripadvisor.com/media/photo-o/0f/25/7d/8f/9-du-ng-le-thanh-ton.jpg","FRIENDS","2017-04-30","2017-05-01","2017-05-01","vi","Bếp Mẹ ỉn","10721705","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d10721705-r480604649-B_p_M_n-Ho_Chi_Minh_City.html"
"725872168","E1A3C7FDE502A20A3F5594FC8D08CF6E","ARFaReview","ARFaReview","https://www.tripadvisor.com.vn/Profile/ARFaReview","https://media-cdn.tripadvisor.com/media/photo-o/0c/15/4c/22/afletcher92.jpg","Staffordshire","No","5","","Thức ăn tuyệt vời","Nơi tuyệt vời, rất khuyến khích. . một số thực phẩm địa phương tốt và giá cả hợp lý. Cả hai đều có Phở và chúng tôi không thất vọng!","3","","COUPLES","2019-11-30","2019-11-12","2019-11-12","vi","Bếp Mẹ ỉn","10721705","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d10721705-r725872168-B_p_M_n-Ho_Chi_Minh_City.html"
"724276417","EE48BC14B76BAE73B90171F79A32979C","Bo_1234newjersey","Bo_1234newjersey","https://www.tripadvisor.com.vn/Profile/Bo_1234newjersey","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg","Parsippany","No","4","","Nơi gọn gàng gần chợ có máy lạnh.","Thức ăn đường phố với một bài thuyết trình tốt đẹp với giá cả hợp lý. Phòng tắm sạch sẽ và các nữ tiếp viên lịch sự. Chúng tôi gọi món xào rau muống và tôm chiên trong vỏ dừa, nếm thử coconuty","2","","COUPLES","2019-11-30","2019-11-06","2019-11-05","vi","Bếp Mẹ ỉn","10721705","https://www.tripadvisor.com.vn/ShowUserReviews-g293925-d10721705-r724276417-B_p_M_n-Ho_Chi_Minh_City.html"
