URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Nạc vai bò ướp sốt,229000,,Bò
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Nạc vai bò ướp sốt cay,229000,,Bò
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Bắp bò ướp muối,229000,,Bò
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Bắp bò ướp sốt,229000,,Bò
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Bắp bò ướp sốt cay,229000,,Bò
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Ba chỉ bò ướp muối,229000,,Bò
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Ba chỉ bò ướp sốt,229000,,Bò
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Ba chỉ bò ướp sốt cay,229000,,Bò
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Ba chỉ bò cuộn nấm đùi gà,229000,,Bò cuộn
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Ba chỉ heo cuộn nấm đùi gà,199000,,Heo cuộn
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Bạch tuộc baby nướng,169000,,Hải sản
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Ba chỉ heo cắt dày ướp muối,199000,,Heo
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,,,,,Ba chỉ heo cắt dày ướp sốt,199000,,Heo
