URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,,,,,,,,Hàu Hạ Long Dấm Sấu ,199000,,Hải sản
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,,,,,,,,Hàu Hạ Long Nướng Phô Mai,219000,,Hải sản
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,,,,,,,,Sò điệp nướng mù tạt,279000,,Hải sản
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,,,,,,,,Sụn gối rang muối cay,149000,,Món chính
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,,,,,,,,Cá trích hồng sấy,149000,,Món chính
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,,,,,,,,Đốt lừa lòng cá,149000,,Món chính
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,,,,,,,,Đùi vịt nướng sấu,169000,,Món chính
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,,,,,,,,Cơm cháy pate cá bào,99000,,Món chính
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,,,,,,,,Ghẹ sữa sốt ớt ,199000,,Món chính
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,,,,,,,,Gỏi bưởi chanh dây,99000,,Món chính
