URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Sò huyết cồ xào me chua cay,59000,,Premium Set
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Nghêu 2 cồi hấp sả,59000,,Premium Set
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Tôm càng xanh nướng phô mai,59000,,Premium Set
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Cá tầm nguyên con,59000,,Premium Set
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Chân gà nướng/xào tỏi,35000,,Món gà
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Chân gà rút xương sả tắc,75000,,Món gà
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Chân gà rút xương chiên giòn sốt cay,75000,,Món gà
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Bắp mỳ xào ruốc,35000,,Món xào
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Râu mực nướng sa tế,105000,,Món mực
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Răng mực sốt trứng muối/bơ tỏi/sa tế,105000,,Món mực
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Nghêu hấp sả/hấp thái/xào lá quế,65000,,Hải sản
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Ốc móng tay sốt sa tế/me cay/bơ tỏi,75000,,Ốc
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Sò điệp nướng phô mai/mỡ hành,65000,,Hải sản
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Tôm nướng mọi/muối ớt,125000,,Món tôm
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Tôm rang muối tôm sấy/hấp thái,125000,,Món tôm
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Tôm càng sốt phô mai,165000,,Món tôm
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Tôm càng nướng muối ớt,165000,,Món tôm
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Tôm càng nướng phô mai,165000,,Món tôm
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Tôm tái sốt ớt đỏ,125000,,Món tôm
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Cá hồi tái với sốt mù tạt,145000,,Món cá
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Hàu né phô mai,135000,,Hải sản
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Hải sản om khói với nấm,155000,,Hải sản
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Tôm mực chiên nước mắm,175000,,Hải sản
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Rau củ luộc kho quẹt,85000,,Món rau
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Bắp bò ngâm mắm cuốn cải xanh,155000,,Món bò
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Cơm chiên nghèo và lá quế,155000,,Cơm chiên
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,Cơm chiên hải sản,195000,,Cơm chiên
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,,"Mỳ gói trộn ốc tỏi, cà chua và hành tây",135000,,Mì gói
