URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Bánh Đúc,45000,,Món bánh
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Bánh Ít Trần,55000,,Món bánh
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Bánh Hỏi - Chạo Tôm,85000,,Món bánh
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Bánh Bèo Tôm Chấy,75000,,Món bánh
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Xôi Vò,45000,,Món xôi
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Gỏi Bò Bông Bần,120000,,Món gỏi
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Gỏi Hải Sản,150000,,Món gỏi
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Cuốn Thịt Ram,85000,,Món cuốn
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Gỏi Cuốn Tôm,95000,,Món cuốn
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Xà Lách Bar,65000,,Món salad
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Cơm Nắm - Khô Cá Dừa,75000,,Món cơm
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Kim Chi,45000,,Món kim chi
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Chả Giò Tôm,95000,,Món cuốn
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Chả Giò Chuối,75000,,Món cuốn
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Hoành Thánh Chiên,85000,,Món chiên
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Bông Bí Nhồi Thịt Chiên,95000,,Món chiên
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Xôi Chiên Phồng,65000,,Món chiên
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Bánh Xèo Tôm Thịt,95000,,Món bánh
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Bánh Khọt Hến,85000,,Món bánh
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Cháo Hàu,120000,,Món cháo
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Canh Chua Cá Lóc,135000,,Món canh
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Súp Hải Sản Nấm Linh Chi,145000,,Món súp
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Trứng Vịt Lộn,35000,,Món trứng
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Kem Tươi,45000,,Tráng miệng
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Chè Lạnh,35000,,Tráng miệng
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Trà Đá,15000,,Thức uống
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Nước Cam,35000,,Thức uống
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,,,,,Nước Sâm,25000,,Thức uống
