URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,Chưa hỗ trợ đặt bàn qua PasGo,"371A Nguyễn Trãi, P. Nguyễn Cư Trinh, Q. 1",Buffet,198.000 - 435.000 vn,"10h:30 - 13h:30, 17h:30 - 20h:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,"Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Phong cách điện ảnh châu Âu, sang trọng", 70 khách,"- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",,,,,,,,,106.685399,10.760303,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,Thứ hai,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,Thứ ba,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,Thứ tư,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,Thứ năm,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,Thứ sáu,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,Thứ bảy,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,Chủ nhật,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-huong-rung-nguyen-trai-6-aq: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-huong-rung-nguyen-trai-6-aq-normal-12133625123.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-huong-rung-nguyen-trai-7-aq: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-huong-rung-nguyen-trai-7-aq-normal-12112185124.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-huong-rung-nguyen-trai-5-aq: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-huong-rung-nguyen-trai-5-aq-normal-12084485125.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-huong-rung-nguyen-trai-1-aq: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-huong-rung-nguyen-trai-1-aq-normal-12134185126.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-huong-rung-nguyen-trai-4-aq: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-huong-rung-nguyen-trai-4-aq-normal-12135105127.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-huong-rung-nguyen-trai-anh-nho-aq: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-huong-rung-nguyen-trai-anh-nho-aq-normal-12123935128.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-huong-rung-nguyen-trai-16-aq: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-huong-rung-nguyen-trai-16-aq-normal-12058225129.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/buffethuongrung/nha-hang-buffet-huong-rung-header.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,,,,,Trẻ em,99000,,Bữa trưa,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,,,,,Người lớn,198000,,Bữa trưa,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,,,,,Trẻ em,218000,,Bữa tối,,,,,,,,
https://pasgo.vn/nha-hang/buffet-huong-rung---huong-vi-am-thuc-3-mien-913,,,,,,,,,,,,,,,,,,,,,,,,Người lớn,435000,,Bữa tối,,,,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_buffet-huong-rung---huong-vi-am-thuc-3-mien-913.csv,,,,,,,,,,,,,,,,,,,,,,,,Người lớn# Trẻ em# Người lớn# Trẻ em,435000# 99000# 198000# 218000,# # # ,Bữa tối# Bữa trưa# Bữa trưa# Bữa tối,Combo 1,950000,2024-11-27 08:50:58,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_buffet-huong-rung---huong-vi-am-thuc-3-mien-913.csv,,,,,,,,,,,,,,,,,,,,,,,,Người lớn# Trẻ em# Trẻ em,435000# 218000# 99000,# # ,Bữa tối# Bữa tối# Bữa trưa,Combo 2,752000,2024-11-27 08:50:58,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_buffet-huong-rung---huong-vi-am-thuc-3-mien-913.csv,,,,,,,,,,,,,,,,,,,,,,,,Người lớn# Trẻ em,198000# 99000,# ,Bữa trưa# Bữa trưa,Combo 3,297000,2024-11-27 08:50:58,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_buffet-huong-rung---huong-vi-am-thuc-3-mien-913.csv,,,,,,,,,,,,,,,,,,,,,,,,Người lớn# Trẻ em# Người lớn,198000# 218000# 435000,# # ,Bữa trưa# Bữa tối# Bữa tối,Combo 4,851000,2024-11-27 08:50:58,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_buffet-huong-rung---huong-vi-am-thuc-3-mien-913.csv,,,,,,,,,,,,,,,,,,,,,,,,Người lớn# Người lớn# Trẻ em# Trẻ em,198000# 435000# 218000# 99000,# # # ,Bữa trưa# Bữa tối# Bữa tối# Bữa trưa,Combo 5,950000,2024-11-27 08:50:58,,,,,
C:\Users\LENOVO\Desktop\selenium\restaurant_data_buffet-huong-rung---huong-vi-am-thuc-3-mien-913.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Bữa tối vui vẻ cùng gia đinh, không gian ấm cúng, các bạn phục vụ rất dễ thương, cảm ơn bạn Nhung, Thương, Ngọc, Dung, Vy, Dũng đã phục vụ mình rất chu đáo",https://media-cdn.tripadvisor.com/media/photo-w/2d/e7/9d/57/caption.jpg,2024-10-26,2024-10-31
C:\Users\LENOVO\Desktop\selenium\restaurant_data_buffet-huong-rung---huong-vi-am-thuc-3-mien-913.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"지인의 추천으로 방문하였는데 추천 시 조용한 방이 따로 마련되어 있어 비즈니스시 손님들과 편안히 대화를 나누면서 식사를 할 수 있다고 하여 방문하였다.
방문 시 제법 오래된 식당의 포스와  직원들의 응대가 괜찮다고 생각했다.
직원의 도움을 받으며 주문을 하게 되었는데 일본에서 오늘 도착한 조개라면서 추천한 메뉴가 나와 있는 사진과 실물은 차이가 너무  많이 나는 걸 같이 간 일행과 공감하면서 이건 아니지 하면서 식사를 하였다.
전반적인 서비스 품질은 우수한 편이나 역시 식당은 음식 맛으로 승부를 해야하는데 이점은 다소 미흡한 것 같다.
입맛이 까다로운 사람들은 평가를 저조하게 할 것 같고 그냥 조용한 방에서 큰 부담없이 식사를 하기에는 나쁘진 않은 것 같다.",,2018-01-07,2017-12-31
C:\Users\LENOVO\Desktop\selenium\restaurant_data_buffet-huong-rung---huong-vi-am-thuc-3-mien-913.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Món ăn đặc sắc. Have to try pomelo salad, flan for dessert very good. Bạn nhân viên Thuỳ rất nhiệt tình và phục vụ rất tốt. Không gian hiện đại thoải mái",,2024-06-02,2024-06-30
