URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,,Salad Đậu Phụ,125000,,Món ăn nhẹ
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,,Salad Mix Rocket,135000,,Món ăn nhẹ
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,,Salad Rong Biển,125000,,Món ăn nhẹ
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,,Gỏi Hồng Liên Hoa,139000,,Món ăn nhẹ
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,,Dưa Leo - Nấm Salad,125000,,Món ăn nhẹ
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,,Bánh Mì Đông Cô,75000,,Món ăn nhẹ
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,,Chả Giò Chay Bông Sen,109000,,Món ăn nhẹ
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,,Asparagus Roll,155000,,Cơm cuộn chay
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,,Kinoko Teriyaki Roll,135000,,Cơm cuộn chay
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,,Spider Roll,145000,,Cơm cuộn chay
