URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Xắp xắp,199000,,Món chính
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Bò lá lốt,499000,,Món chính
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Takoyaki (MC39),269000,,Món chính
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Mochi,169000,,Món chính
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Bắp nướng mỡ hành,139000,,Món chính
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Bánh xèo ,269000,,Món chính
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Mì vịt tiềm,399000,,Món chính
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Pa pỉnh tộp,399000,,Món chính
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Bánh mì heo quay,499000,,Món chính
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Cơm lươn nướng,499000,,Món chính
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Gnocchi,1690000,,Tráng miệng
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Grilled Mackerel,269000,,Nướng
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Hamachi,499000,,Nướng
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Ben Tre chicken,199000,,Nướng
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Duck Breast,499000,,Nướng
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Pork Chop,499000,,Nướng
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Cheese Cake,99000,,Tráng miệng
https://pasgo.vn/nha-hang/fireworks-raw-grill-and-craft-bar-4176,,,,,,,,,,,,,,,,,,,,,,,,Mango Cake,99000,,Tráng miệng
