URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,Firkin Bar - Mạc Thị Bưởi,"Số 20 Mạc Thị Bưởi, P. Bến Nghé, Q. 1","Bar, món Âu",200.000 – 400.000,16h00 - 24h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,"Tụ họp bạn bè, cặp đôi, liên hoan, sinh nhật,…","Các loại rượu Whisk(e)y từ khắp thế giới, cocktails sáng tạo, cigars, các món snack nhẹ như Các loại phô mai; Các loại thịt nguội xông khói; Da heo chiên giòn dùng kèm sốt chili mayo; Trứng hồng đào bọc thịt heo, nấm Truffle đen…",Hiện đại, 30 khách,"- Firkin Bar với phong cách lịch lãm và hiện đại mang đến danh sách đồ uống ấn tượng được tạo nên bởi các bartender chuyên nghiệp, đặc biệt là các loại Whisk(e)y; kết hợp cùng những món Âu nhẹ nhàng, tinh tế sẽ là những gợi ý hoàn hảo không thể bỏ qua.",,,,,,,,,106.705121,10.775846,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,,,,,,,,,,THỨ HAI,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,,,,,,,,,,THỨ BA,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,,,,,,,,,,THỨ TƯ,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,,,,,,,,,,THỨ NĂM,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,,,,,,,,,,THỨ SÁU,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,,,,,,,,,,THỨ BẢY,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,,,,,,,,,,CHỦ NHẬT,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,,,,,,,,,,,,,firkin-bar-mac-thi-buoi-1: https://pasgo.vn/Upload/anh-chi-tiet/firkin-bar-mac-thi-buoi-1-normal-669995434085.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/firkin-bar-mac-thi-buoi-3144,,,,,,,,,,,,,,,,,,,,firkin-bar-mac-thi-buoi-2: https://pasgo.vn/Upload/anh-chi-tiet/firkin-bar-mac-thi-buoi-2-normal-669995534086.webp,,,,,,,,,,,,,,,
