URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,Gyu-Kaku – Aeon Mall Tân Phú,"RF26 tầng 1 Aeon Mall Celadon Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Q. Tân Phú","Buffet, Gọi món nướng lẩu Nhật Bản",200.000 - 350.000,10h30 -  21h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,"Sinh nhật, họp mặt, bạn bè, gia đình, liên hoan…",Bò Wagyu nướng; Ba chỉ bò Mỹ; Sườn bò có xương; Tôm; Mực; Bạch tuộc; Sườn bò đế vương tuyệt hảo; Lẩu chua cay; Lẩu Trường Xuân; Lẩu kim chi; Lẩu Sukiyaki…,Nhật Bản hiện đại, 152 khách,"Gyu-Kaku được thành lập bởi tập đoàn COLOWIDE, hiện là một trong những thương hiệu nhà hàng BBQ lớn nhất với hơn 700 nhà hàng tại Nhật Bản cùng hơn 2000 nhà hàng trải khắp 14 quốc gia khác nhau trên thế giới.",,,,,,,,,106.617116,10.801336,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại tầng hầm trung tâm thương mại (Phí phụ thuộc vào đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại tầng hầm trung tâm thương mại (Phí phụ thuộc vào đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,THỨ HAI,10:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,THỨ BA,10:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,THỨ BẢY,10:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-aeon-mall-tan-phu-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-aeon-mall-tan-phu-1-normal-1370751544544.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-aeon-mall-tan-phu-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-aeon-mall-tan-phu-2-normal-1370752844546.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-aeon-mall-tan-phu-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-aeon-mall-tan-phu-3-normal-1370753944547.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-aeon-mall-tan-phu-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-aeon-mall-tan-phu-4-normal-1370754144548.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-aeon-mall-tan-phu-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-aeon-mall-tan-phu-5-normal-1370754244549.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-aeon-mall-tan-phu-3903,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-aeon-mall-tan-phu-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-aeon-mall-tan-phu-6-normal-1370754944550.webp,,,,,,,,,,,,,,,
