URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,Gyu-Kaku - Lê Thánh Tôn,"Số 15/7 Lê Thánh Tôn, P. Bến Nghé, Q.1, Tp.HCM","Buffet, Gọi món nướng lẩu Nhật Bản",250.000 - 600.000,"T2 - T6: 11h00 - 13h00 & 17h00 - 21h00 & T7, CN: 11h00 - 21h00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,"Liên hoan, họp mặt, gia đình, bạn bè, sinh nhật…","Bò Wagyu, Sườn bò Gyu-Kaku, Sườn bò Mỹ Rồng, Diềm thăn bò Mỹ Đế Vương, Hải sản, Lẩu Gyu-Kaku…",Nhật Bản hiện đại, 125 khách (2 tầng),"Gyu-Kaku được thành lập bởi tập đoàn COLOWIDE, hiện là một trong những thương hiệu nhà hàng BBQ lớn nhất với hơn 700 nhà hàng tại Nhật Bản cùng hơn 2000 nhà hàng trải khắp 14 quốc gia khác nhau trên thế giới.",,,,,,,,,106.705843,10.781644,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,Chỗ để xe ô tô & xe máy,"Gửi tại tầng hầm 22 Lê Thánh Tôn, đối diện nhà hàng (Phí phụ thuộc đơn vị trông giữ xe)",,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,THỨ HAI,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,THỨ BA,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,THỨ TƯ,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,THỨ NĂM,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,THỨ SÁU,17:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-le-thanh-ton-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-le-thanh-ton-1-normal-1758332748384.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-le-thanh-ton-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-le-thanh-ton-2-normal-1758333048385.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-le-thanh-ton-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-le-thanh-ton-3-normal-1758333348386.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-le-thanh-ton-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-le-thanh-ton-4-normal-1758333448387.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-le-thanh-ton-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-le-thanh-ton-5-normal-1758333548388.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-le-thanh-ton-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-le-thanh-ton-6-normal-1758333648389.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-kaku-le-thanh-ton-4178,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-kaku-le-thanh-ton-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-kaku-le-thanh-ton-7-normal-1758333748390.webp,,,,,,,,,,,,,,,
