URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Tôm sú,199000,,Hải sản và món khác
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Trứng cút,65000,,Hải sản và món khác
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Sò điệp,299000,,Hải sản và món khác
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Vẹm xanh,169000,,Hải sản và món khác
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Mực baby,179000,,Hải sản và món khác
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Cá thu phi lê,155000,,Hải sản và món khác
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Bạch tuộc,175000,,Hải sản và món khác
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Rau muống,69000,,Rau củ quả
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Cải thảo,49000,,Rau củ quả
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Bó xôi,79000,,Rau củ quả
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Nấm đông cô tươi,89000,,Các loại nấm
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Nấm kim châm,79000,,Các loại nấm
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Nấm đùi gà,99000,,Các loại nấm
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Chả cá ngừ vị viên,149000,,Món viên
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Chả mực viên,169000,,Món viên
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Chả tôm viên,149000,,Món viên
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Bò viên,149000,,Món viên
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Cá Basa viên,139000,,Món viên
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,"Lẩu 2 ngăn (nguyên vị, cay)",199000,,Lẩu
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,"Lẩu 2 ngăn (cay, chua)",199000,,Lẩu
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Lẩu 3 ngăn,249000,,Lẩu
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Thịt cừu thảo nguyên cuộn,269000,,Thịt
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Thịt bò cuộn,229000,,Thịt
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Sườn cừu nướng Mông Cổ,199000,,Nướng
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Coca Cola,29000,,Đồ uống
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Bia Tiger,39000,,Đồ uống
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Trà trái cây,35000,,Đồ uống
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Nước ép xoài,45000,,Đồ uống
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Nước ép dứa,45000,,Đồ uống
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Bánh bao kim chi,69000,,Món chính
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Bánh mì nướng mè,49000,,Món chính
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Mì trộn Hàn Quốc,89000,,Món chính
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,,,,,,,,Cơm trắng,25000,,Món chính
