URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,Nhà Hàng Hoa Lư,"2 Bis Đinh Tiên Hoàng, P. Đa Kao, Q. 1","Món Bắc, Trung, Nam / Hải sản / Rừng núi",150.000 - 500.000 vn,"10h:30 - 13h:30, 17h:30 - 20h:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,"Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Phong cách điện ảnh châu Âu, sang trọng", 70 khách,"- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",,,,,,,,,106.700823,10.78735,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,Thứ hai,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,Thứ ba,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,Thứ tư,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,Thứ năm,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,Thứ sáu,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,Thứ bảy,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,Chủ nhật,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,,,,hoa-lu-kham-pha-dac-san-ba-mien-5: https://pasgo.vn/Upload/anh-chi-tiet/hoa-lu-kham-pha-dac-san-ba-mien-5-normal-12119691848.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,,,,hoa-lu-kham-pha-dac-san-ba-mien-6: https://pasgo.vn/Upload/anh-chi-tiet/hoa-lu-kham-pha-dac-san-ba-mien-6-normal-12121501849.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,,,,hoa-lu-kham-pha-dac-san-ba-mien-7: https://pasgo.vn/Upload/anh-chi-tiet/hoa-lu-kham-pha-dac-san-ba-mien-7-normal-12133731850.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoa-lu---kham-pha-dac-san-ba-mien-548,,,,,,,,,,,,,,,,,,,,hoa-lu-kham-pha-dac-san-ba-mien-3: https://pasgo.vn/Upload/anh-chi-tiet/hoa-lu-kham-pha-dac-san-ba-mien-3-normal-12096291851.webp,,,,,,,,,,,,,,,
