URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,Lion City - Đông Du,"Số 41-47 Đông Du, P. Bến Nghé, Q. 1",Chuyên món Singapore,150.000 - 350.000,10h30 – 21h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,"Tiếp khách, tiệc công tu, gia đình, họp nhóm, sinh nhật…","Sashimi, Sushi, Tempura, Món nướng Yaki kiểu Nhật, Mì Udon…",Phong cách Nhật Bản, 200 khách (4 tầng),"- Vị trí đắc địa trung tâm quận 1, không gian Nhật Bản ấm cúng, có máy lạnh.
- Món ăn mang hương vị chuẩn Nhật, giá thành hợp lý.",,,,,,,,,106.704645,10.775776,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,Phòng riêng,1 phòng (20 khách),,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,Chỗ để xe máy,Tại nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,THỨ HAI,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,THỨ BA,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,THỨ TƯ,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,THỨ NĂM,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,THỨ SÁU,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,THỨ BẢY,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-1-normal-1668786410851.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-2-normal-1668786510852.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-3-normal-1668786610853.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-4-normal-1668786710854.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-5-normal-1668786810855.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-6-normal-1668786910856.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-7-normal-1668787510857.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-8-normal-1668787610858.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-9-normal-1668787710859.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-10-normal-1668788210860.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/lion-city-dong-du-1449,,,,,,,,,,,,,,,,,,,,nha-hang-lion-city-dong-du-slide-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-lion-city-dong-du-11-normal-1668788510861.webp,,,,,,,,,,,,,,,
