URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Rau trộn thịt gà nướng,85000,,Salad
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Rau trộn bạch tuộc,105000,,Salad
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Rau trộn cá thu Nhật chiên kiểu Nhật,85000,,Salad
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Rau trộn sò điệp nướng,85000,,Salad
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Rau trộn cua lột chiên giòn,125000,,Salad
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Mực tươi,79000,,Món cá
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Trứng cá hồi,155000,,Món cá
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Cá hồi,125000,,Món cá
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Cá ngừ,95000,,Món cá
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Cá thái,185000,,Món cá
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Cá trích ép trứng,125000,,Món cá
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Lườn cá hồi,155000,,Món cá
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Cá kiếm,85000,,Món cá
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Sò đỏ Nhật Bản,125000,,Món cá
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Cơm cuộn heo chiên & phô mai,50000,,Cơm cuộn
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Cơm cuộn cá hồi & phô mai,65000,,Cơm cuộn
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Cơm cuộn cá ngừ & phô mai,60000,,Cơm cuộn
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,,,,,Cơm cuộn cá hồi phô mai chiên giòn,75000,,Cơm cuộn
