URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Cơm rang dưa bò,125000,,Món cơm-mì
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Cơm chiên cá mặn trứng muối,145000,,Món cơm-mì
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Cơm chiên hải sản,160000,,Món cơm-mì
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Cơm chiên rau củ,99000,,Món cơm-mì
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Bánh đa sợi ấp chảo,160000,,Món cơm-mì
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Miến xào thịt cua,245000,,Món cơm-mì
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Mì xào chay,90000,,Món cơm-mì
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Mì xào hải sản,160000,,Món cơm-mì
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Cháo tôm/cháo bò,105000,,Món cơm-mì
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Cơm chiên sò điệp xanh,135000,,Món cơm-mì
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Rau muống xào tỏi,75000,,Món rau
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Rau củ chấm kho quẹt Thái,146000,,Món rau
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Măng tây xào sốt sampa,135000,,Món rau
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,,Cải thìa xào nấm đông cô,95000,,Món rau
