URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Súp gà và rau củ,158000,,Súp
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Súp măng tây và thịt cua,148000,,Súp
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Súp khoai tây với nấm truffle,178000,,Súp
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Xà lách rau tổng hợp với sốt dầm ý,138000,,Xà lách
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Xà lách romaine với ức gà nướng/ thịt heo xông khói và sốt caesar,188000,,Xà lách
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Xà lách rong biển với cam/ rau chân vịt và sốt mè rang,178000,,Xà lách
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Xà lách thịt cua,188000,,Xà lách
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Xà lách tôm áp chảo/ trái cây và sốt đặc biệt,198000,,Xà lách
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Tuna Tartlet,188000,,Khai vị
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Crispy Fried Prawn Wonton,188000,,Khai vị
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,New Zealand Mussels,258000,,Khai vị
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Cream with Chorizo,258000,,Khai vị
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Fresh Burrata Tropical Fruits,258000,,Khai vị
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Beef Carpaccio,278000,,Khai vị
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Fried Viet Nam Soft Shell Crab,288000,,Khai vị
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Smoked Scallop,288000,,Khai vị
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Pan-fried Foie Gras,298000,,Khai vị
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Cheese & Cold Cut Platter,408000,,Khai vị
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Spaghetti Bolognese,198000,,Mỳ Ý
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Penne Carbonara,198000,,Mỳ Ý
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Baked Cheese Fusilli,238000,,Mỳ Ý
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Spicy Seafood Spaghetti,248000,,Mỳ Ý
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Squid Ink Linguine,268000,,Mỳ Ý
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Chuck Eye Steak USDA Choice,268000,,Món nướng
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Rib Eye Steak USDA Choice,268000,,Món nướng
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Rib Eye Steak USDA Prime,268000,,Món nướng
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Tenderloin Steak MB2,268000,,Món nướng
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Striploin Steak MB2,268000,,Món nướng
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,T-Bone Angus Steak,268000,,Món nướng
https://pasgo.vn/nha-hang/moo-beef-steak-ly-tu-trong-3932,,,,,,,,,,,,,,,,,,,,,,,,Rib Eye Steak MS4/5 Wagyu,268000,,Món nướng
