URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,Mr Beer - Bùi Thị Xuân,"Số 56 - 58 Bùi Thị Xuân, P. Bến Thành, Q. 1","Gọi món Á, Âu",200.000 - 500.000,10h30 – 23h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,"Hội họp, gặp gỡ, giao lưu, tiếp khách…","Steak (Bò Mỹ thượng hạng, Bò Wagyu Úc, Bò New Zealand, Bò Nhật), Vẹm New Zealand đút lò, Sườn heo nguyên bẹ sốt Thái, Vây cá hồi cháy tỏi…","Không gian mở, hiện đại", 150 khách,- Nguyên liệu bò nhập khẩu cao cấp.,,,,,,,,,106.689804,10.771381,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,Chỗ để xe ô tô,Không,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,THỨ HAI,10:30,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,THỨ BA,10:30,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,THỨ TƯ,10:30,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,THỨ NĂM,10:30,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,THỨ SÁU,10:30,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,THỨ BẢY,10:30,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:30,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-1-normal-1800256248970.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-2-normal-1800256448971.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-3-normal-1800256548972.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-4-normal-1800256648973.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-5-normal-1800256748974.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-6-normal-1800256848975.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-7-normal-1800256948976.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-8-normal-1800257048977.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-9-normal-1800257148978.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-10-normal-1800257248979.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-11-normal-1800257348980.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,nha-hang-mr-beer-bui-thi-xuan-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mr-beer-bui-thi-xuan-12-normal-1800257848981.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/mrbeerbtx/menu.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,,,,,Phô mai sợi xông khói,55000,,LAI RAI,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,,,,,Đậu Nhật hấp muối,55000,,LAI RAI,,,,,,,,
https://pasgo.vn/nha-hang/mr-beer-bui-thi-xuan-4220,,,,,,,,,,,,,,,,,,,,,,,,Đậu phộng tươi đất,55000,,LAI RAI,,,,,,,,
