URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,,,,,,,,Bò bía,30000,,Quầy cuốn
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,,,,,,,,Bì cuốn,30000,,Quầy cuốn
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,,,,,,,,Bánh hỏi cuốn thịt nướng,40000,,Quầy cuốn
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,,,,,,,,Bánh ướt cuốn thịt nướng,40000,,Quầy cuốn
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,,,,,,,,Bánh tráng cuốn thịt luộc rau rừng,45000,,Quầy cuốn
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,,,,,,,,Chả lụa & chả chiên,25000,,Quầy cuốn
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,,,,,,,,Tai heo luộc,20000,,Quầy cuốn
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,,,,,,,,Bánh bèo tôm cháy,30000,,Quầy cuốn
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,,,,,,,,Bánh đúc,25000,,Quầy cuốn
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,,,,,,,,Gỏi ngó sen tôm thịt,45000,,Quầy salad
