URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Gỏi tôm sống với sốt ớt chanh,211000,,Gỏi
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Gỏi xoài xanh với cá trê chiên giòn,173000,,Gỏi
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Gà xiên Satay (6 xiên),173000,,Món gà
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Bao cua lột,159000,,Món bánh
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Cánh gà nhồi cá thác lác lá chanh,173000,,Món gà
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Heo quay tăng sốt Namchimchao,227000,,Món heo
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Bò Fuji nướng sốt Thái,443000,,Món bò
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Mực nướng Thái,302000,,Hải sản
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Gỏi đu đủ tôm khô & ba khía,113000,,Gỏi & Salad
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Gỏi đu đủ tôm khô với trứng muối,81000,,Gỏi & Salad
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Gỏi miến hải sản,135000,,Gỏi & Salad
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Chân gà chiên muối Tomyum,86000,,Món đường phố
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Chân gà sốt cay kiểu Thái,86000,,Món đường phố
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Cánh gà chiên muối Tomyum,113000,,Món đường phố
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Cánh gà nhồi cá thác lác lá chanh,173000,,Món đường phố
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Gà xiên Satay,173000,,Món đường phố
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Chả tôm sốt xí muội,167000,,Món đường phố
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Chả tôm dừa,190000,,Món đường phố
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Chả mực sốt Thái,129000,,Món đường phố
https://pasgo.vn/nha-hang/nha-hang-chill-thai-co-giang-4381,,,,,,,,,,,,,,,,,,,,,,,,Heo hong mật nắng chao dầu,113000,,Món đường phố
