URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,Mountain Retreat - Lê Lợi,"36 Lê Lợi, P. Bến Thành, Q. 1",Gọi món Việt,80.000 - 150.000,10h00 – 22h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,"Đặt tiệc, liên hoan, tiếp khách, sinh nhật, bạn bè, gia đình...","Bánh tôm Hồ Tây, Chả cốm, Bánh đa cua Hải Phòng, Mì Quảng, Cao lầu Hội An, Bún chả cá Nha Trang, Bánh xèo, Bánh khọt, Gỏi củ hũ dừa, Rau muống xào chao ớt, Bánh canh giò heo Trảng Bàng, Bún mắm Châu Đốc...",Kiến trúc nhà rường xưa ở Huế, 350 khách (02 tầng),Thực đơn phong phú hơn 300 món ăn 3 miền đặc trưng.,,,,,,,,,106.70053,10.774242,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,Chỗ để xe ô tô,Đậu xe dưới tầng hầm của nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe dưới tầng hầm của nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,THỨ HAI,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,THỨ BA,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,THỨ BẢY,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,,,,nha-hang-mountain-retreat-36-le-loi-quan-1-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mountain-retreat-36-le-loi-quan-1-1-normal-12125114604.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,,,,nha-hang-mountain-retreat-36-le-loi-quan-1-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mountain-retreat-36-le-loi-quan-1-2-normal-12063194605.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,,,,nha-hang-mountain-retreat-36-le-loi-quan-1-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mountain-retreat-36-le-loi-quan-1-3-normal-12157944606.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mountain-retreat-36-le-loi-quan-1-851,,,,,,,,,,,,,,,,,,,,nha-hang-mountain-retreat-36-le-loi-quan-1-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mountain-retreat-36-le-loi-quan-1-4-normal-12095534607.webp,,,,,,,,,,,,,,,
