URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,"Vịt Quay Kiểu ""Quảng Đông""",220000,,Các món quay
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Xá Xíu Mật Ong,180000,,Các món quay
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Heo Sữa Quay (Hai Loại),320000,,Các món quay
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Heo Sữa Quay (Ba Loại),380000,,Các món quay
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Món Quay (Hai Loại),250000,,Các món quay
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Món Quay (Ba Loại),280000,,Các món quay
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Vịt Bắc Kinh Cuộn Xốt Gan Ngỗng (4 Miếng),180000,,Khai vị
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Gà Chiên Giòn với Mắm Tôm,150000,,Khai vị
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Thịt Heo Quay Kiểu Hồng Kông,160000,,Khai vị
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Mực Rang Muối Tiêu,150000,,Khai vị
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Giò Heo Nguội với Sửa Biến,160000,,Khai vị
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Chả Giò Nấm Thập Cẩm,150000,,Khai vị
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Thịt Cuốn Dưa Leo với Xốt Tôi,120000,,Khai vị
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Đậu Hủ Chiên Giòn Rang Muối Tiêu,100000,,Khai vị
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Đông trùng hạ thảo tiềm với bông cải tươi và gà,600000,,Món súp
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Trái bí đao tiêm bát bửu,150000,,Món súp
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Hải vị tiềm với hoài sơn+ kỷ tử,220000,,Món súp
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Gà ác tiềm với ốc biển,180000,,Món súp
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Gà tiềm với nấm đông cô và cải thảo,160000,,Món súp
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Súp gà tiềm bí đao và sò điệp khô,160000,,Món súp
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Súp sò điệp gạch cua,130000,,Món súp
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,"Súp chua cay “Tứ Xuyên""",120000,,Món súp
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Súp bắp thịt cua,120000,,Món súp
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Canh hàng ngày,80000,,Món súp
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Phật Nhảy Tường (Đặt trước một ngày),1600000,,Vi cá
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Vi Cá Hồng Xíu (Trung),780000,,Vi cá
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Vi Cá Tiềm Gà,780000,,Vi cá
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Trái Bí Đao Tiềm với Vi Cá và Thịt Cua,880000,,Vi cá
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Vì Cá (Trung) Xào Khô với Thịt Cua và Súp Thượng Hạng,880000,,Vi cá
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Súp Vi Cá Gạch Cua,380000,,Vi cá
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Súp Vi Cá Thịt Cua,380000,,Vi cá
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,,,,,,,,Súp Bào Ngư Hài Vị Vi Cá,380000,,Vi cá
