URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Súp hải sản,890000,,Súp
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Súp măng tây cua,890000,,Súp
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Súp nấm thập cẩm,890000,,Súp
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Súp cua hải sâm,22000,,Súp
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Súp V.C,22000,,Súp
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Chân gà đông tảo tiềm sâm,23000,,Súp
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Thịt nguội tửu bổ,520000,,Khai vị
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Khai vị Phố 79,550000,,Khai vị
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Nem cua rán,550000,,Khai vị
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Chả giò tôm cua,550000,,Khai vị
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Chả mực,590000,,Khai vị
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Cháo ốc hương,980000,,Cháo
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Cháo cá thi là,140000,,Cháo
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gỏi sò huyết ốc hương,139000,,Gỏi
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gỏi ốc hương hoa chuối,139000,,Gỏi
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gỏi cua dưa hấu tôm thịt,520000,,Gỏi
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gỏi ngó sen tôm thịt,520000,,Gỏi
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gỏi sứa nam định,520000,,Gỏi
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gỏi bưởi pún bò,520000,,Gỏi
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gỏi rau muống tép đồng,560000,,Gỏi
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gỏi cải mầm bò trứng,590000,,Gỏi
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gỏi mực thái,520000,,Gỏi
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gỏi hải sản thái,520000,,Gỏi
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Nộm đu đủ khô bò,490000,,Nộm
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gà ta quay xôi chiên,790000,,Gà - Vịt - Bồ câu
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gà ta hấp hành/lá chanh/mắm nhĩ,750000,,Gà - Vịt - Bồ câu
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gà ta nướng muối ớt,750000,,Gà - Vịt - Bồ câu
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Xôi gà ta,790000,,Gà - Vịt - Bồ câu
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Vịt hầm gừng/ hấp xôi lá sen,990000,,Gà - Vịt - Bồ câu
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Xôi L.L,149000,,Gà - Vịt - Bồ câu
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Bồ câu quay/ rô ti/ nướng muối ớt (5 con),120000,,Gà - Vịt - Bồ câu
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gà ta nấu cà ri - bánh mì,850000,,Gà - Vịt - Bồ câu
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Gà ta tiềm ớt hiểm/nấu lá giang,890000,,Gà - Vịt - Bồ câu
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Cá mú trân châu hấp HK/chưng tương(1.3kg),180000,,Các món cá
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Cá chim trắng nướng muối ớt/ hấp hồng kong(1.2kg),720000,,Các món cá
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,,,,,,,,Cá chạch lấu nướng muối ớt (1kg),129000,,Các món cá
