URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,Quán Ngon 138 - Nam Kỳ Khởi Nghĩa,"Số 138 Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Q. 1",Món ăn Việt Nam,150.000 - 200.000,07h30 – 22h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,"Đặt tiệc, liên hoan, tiếp khách, sinh nhật, bạn bè, gia đình...","Bánh tôm Hồ Tây, Chả cốm, Bánh đa cua Hải Phòng, Mì Quảng, Cao lầu Hội An, Bún chả cá Nha Trang, Bánh xèo, Bánh khọt, Gỏi củ hũ dừa, Rau muống xào chao ớt, Bánh canh giò heo Trảng Bàng, Bún mắm Châu Đốc...",Kiến trúc nhà rường xưa ở Huế, 350 khách (02 tầng),Thực đơn phong phú hơn 300 món ăn 3 miền đặc trưng.,,,,,,,,,106.697596,10.777617,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,Chỗ để xe ô tô,Đậu xe dưới tầng hầm của nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe dưới tầng hầm của nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,,,THỨ HAI,07:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,,,THỨ BA,07:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,,,THỨ TƯ,07:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,,,THỨ NĂM,07:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,,,THỨ SÁU,07:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,,,THỨ BẢY,07:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,,,CHỦ NHẬT,07:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,,,,,,quan-ngon-138-nam-ky-khoi-nghia-1: https://pasgo.vn/Upload/anh-chi-tiet/quan-ngon-138-nam-ky-khoi-nghia-1-normal-1440950045456.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,,,,,,quan-ngon-138-nam-ky-khoi-nghia-2: https://pasgo.vn/Upload/anh-chi-tiet/quan-ngon-138-nam-ky-khoi-nghia-2-normal-1440950345457.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-ngon-138-nam-ky-khoi-nghia-3969,,,,,,,,,,,,,,,,,,,,quan-ngon-138-nam-ky-khoi-nghia-3: https://pasgo.vn/Upload/anh-chi-tiet/quan-ngon-138-nam-ky-khoi-nghia-3-normal-1440950445458.webp,,,,,,,,,,,,,,,
