URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Bồ câu,107000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Bò phi lê,69000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Ba rọi bò Mỹ,85000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Bò Úc,85000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Gà ta (1/2 con),198000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Heo rừng,69000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Bò viên,52000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Bắp bò hoa,69000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Bacon cuộn kim châm,69000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Bò cuộn nấm kim châm,69000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Khổ qua dồn cá thác lác,52000,,Các món thịt
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Mực ống,69000,,Hải sản
https://pasgo.vn/nha-hang/rang-dong-cach-mang-thang-8-1712,,,,,,,,,,,,,,,,,,,,,,,,Bạch tuộc,62000,,Hải sản
