URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,Shamoji Robata Yaki - Lê Thị Riêng,"Số 29-31 Lê Thị Riêng, P. Bến Nghé, Q. 1",Gọi món Nhật Bản,500.000 - 700.000,10h30 - 14h00 & 17h00 - 23h59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,KHÔNG GIAN:,- Không gian truyền thống đầy màu sắc đậm chất làng chài cổ Nhật Bản,,100 khách,,,,,,,,,,106.6155566,10.7712955,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,THỨ HAI,17:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,THỨ BA,17:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,THỨ TƯ,17:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,THỨ NĂM,17:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,THỨ SÁU,17:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,THỨ BẢY,17:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,CHỦ NHẬT,17:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,,,,Nhà hàng Shamoji Robata Yaki Lê Thị Riêng 1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-shamoji-robata-yaki-le-thi-rieng-1-normal-2265997358782.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,,,,Nhà hàng Shamoji Robata Yaki Lê Thị Riêng 2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-shamoji-robata-yaki-le-thi-rieng-2-normal-2265997458783.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,,,,Nhà hàng Shamoji Robata Yaki Lê Thị Riêng 3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-shamoji-robata-yaki-le-thi-rieng-3-normal-2265997558784.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,,,,Nhà hàng Shamoji Robata Yaki Lê Thị Riêng 4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-shamoji-robata-yaki-le-thi-rieng-4-normal-2265997658785.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,,,,Nhà hàng Shamoji Robata Yaki Lê Thị Riêng 5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-shamoji-robata-yaki-le-thi-rieng-5-normal-2265997758786.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-le-thi-rieng-3843,,,,,,,,,,,,,,,,,,,,Nhà hàng Shamoji Robata Yaki Lê Thị Riêng 6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-shamoji-robata-yaki-le-thi-rieng-6-normal-2265997858787.webp,,,,,,,,,,,,,,,
