URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Fried Fishcake in Soul style (Chả cá chiên kiểu Soul),199000,,Starter
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Soul Tofu w Minced Pork (Đậu hũ Soul),149000,,Starter
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Shrimp Salad w/ passion sauce (Salad tôm sốt Chanh Dây),169000,,Salad
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Vietnamese coconut blade salad (Gỏi củ hủ dừa),199000,,Salad
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Oil vinegar salad (Salad dầu giấm),199000,,Salad
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Extra Shrimp/Squid (Thêm Tôm/Mực),79000,,Phụ thêm
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Extra Rice Cracker (Thêm bánh phồng tôm),39000,,Phụ thêm
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Stewed Howling Fish in Claypot (Cá hú kho tộ),169000,,Fish
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,File stir fried Seabass w ginger & onion (Cá chẽm phi lê hành gừng),239000,,Fish
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,File steamed Seabass Hongkong (Cá chẽm phi lê hấp Hongkong),239000,,Fish
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,BBQ Chicken - Half (Nửa con),290000,,Chicken
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,BBQ Chicken - Whole (Nguyên con),490000,,Chicken
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Grill File Chicken with Salt & Chilli (Gà nướng muối ớt),169000,,Chicken
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Grilled File Chicken with Cinnamon (Gà nướng quế),179000,,Chicken
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Steamed Chicken w Lemon Leaf - Half (Gà hấp lá chanh - Nửa con),290000,,Chicken
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Steamed Chicken w Lemon Leaf - Whole (Gà hấp lá chanh - Nguyên con),490000,,Chicken
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Fish Sauce Chicken Wings (Cánh gà chiên nước mắm),169000,,Chicken
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Fried Chicken Wings (Cánh gà chiên giòn),169000,,Chicken
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,,,,,,,,Tamarind Sauce Chicken Wings (Cánh gà sốt me),169000,,Chicken
