URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,Urban BBQ - Nguyễn Bỉnh Khiêm,"Số 11B Nguyễn Bỉnh Khiêm, P. Bến Nghé, Q.1",Buffet Nướng Lẩu Hàn – Việt,250.000 - 250.000,11h00 - 21h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,"Khách hàng văn phòng, gia đình, bạn bè, họp nhóm…","Sườn non bò Mỹ rút xương sốt Bulgogi, Dẻ sườn bò Mỹ nướng sốt bào ngư, Chóp vai bò Mỹ nướng sốt Shoyu, Lưỡi bò Mỹ rắc muối Nhật, Tôm sú sốt sa tế tỏi, Cá lăng phi lê nướng muối ớt, Cá hồi phi lê sốt Teriyaki...","Trẻ trung, hiện đại", 200 khách,"- Menu hoành tráng với hơn 130 món ăn và các loại nước chấm mang đậm phong cách của các thành phố nổi bật.
- 5 vị lẩu đặc sắc: Lẩu kim chi, Lẩu xí quách, Lẩu nấm, Lẩu Thái, Lẩu Chanko",,,,,,,,,106.705522,10.786623,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe bên hông nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe bên hông nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,,,THỨ HAI,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,,,THỨ BA,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,,,,,,nha-hang-urban-bbq-nguyen-binh-khiem-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-urban-bbq-nguyen-binh-khiem-1-normal-2105938445766.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/urban-bbq-nguyen-binh-khiem-3992,,,,,,,,,,,,,,,,,,,,nha-hang-urban-bbq-nguyen-binh-khiem-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-urban-bbq-nguyen-binh-khiem-2-normal-2105938545767.webp,,,,,,,,,,,,,,,
